id,word,root,part_of_speech,meaning,link
8651,חֶבְרַת תְּעוּפָה,-,Noun,"airline, airline company",/dict/8651-chevrat-teufa/
554,לְהֵיחָבֵשׁ,ח - ב - שׁ,Verb – nif'al,to be bandaged,/dict/554-lehechavesh/
553,לַחְבּוֹשׁ,ח - ב - שׁ,Verb – pa'al,to bandage; to put on (a hat),/dict/553-lachbosh/
7680,חֲבִישָׁה,ח - ב - שׁ,"Noun – ktila pattern, masculine","bandaging, dressing; head-covering; saddling; imprisonment",/dict/7680-chavisha/
6341,חוֹבֵשׁ,ח - ב - שׁ,"Noun – kotel pattern, masculine","medic (military), medical assistant",/dict/6341-chovesh/
5440,חֲבִיתָה,ח - ב - ת,"Noun – ktila pattern, feminine",fried egg,/dict/5440-chavita/
5439,מַחְבָת,ח - ב - ת,"Noun – maktal pattern, feminine","frying pan, skillet",/dict/5439-machvat/
4867,חֲגִיגָה,ח - ג - ג,"Noun – ktila pattern, feminine","celebration, fest",/dict/4867-chagiga/
4868,חַג,ח - ג - ג,"Noun – ketel pattern, masculine",holiday,/dict/4868-chag/
555,לָחוֹג,ח - ג - ג,Verb – pa'al,to celebrate,/dict/555-lachog/
5906,לְהֵיחָגֵג,ח - ג - ג,Verb – nif'al,to be celebrated,/dict/5906-lehechageg/
7093,חֲגִיגִי,ח - ג - ג,Adjective – ktili pattern,"festive; solemn, formal",/dict/7093-chagigi/
556,לַחְגּוֹר,ח - ג - ר,Verb – pa'al,"to wear a belt, to girdle",/dict/556-lachgor/
5993,חֲגוֹרָה,ח - ג - ר,"Noun – ktola pattern, feminine",belt,/dict/5993-chagora/
7638,חַד,-,Particle,"one (Aramaic); mono-, uni-, one- (in compound words)",/dict/7638-chad/
4501,חַדּוּת,ח - ד - ד,Noun – feminine,"sharpness, acuteness, keenness",/dict/4501-chadut/
4500,חַד,ח - ד - ד,Adjective – kal pattern,"sharp, acute",/dict/4500-chad/
557,לְחַדֵּד,ח - ד - ד,Verb – pi'el,"to hone, to sharpen",/dict/557-lechaded/
8894,חֶדְווָה,ח - ד - ו,"Noun – kitla pattern, feminine","joy, rejoicing, gaiety (lit.)",/dict/8894-chedva/
3969,מֶחְדָּל,ח - ד - ל,"Noun – miktal pattern, masculine",failure; omission; default,/dict/3969-mechdal/
8724,חִידָּלוֹן,ח - ד - ל,"Noun – kittalon pattern, masculine","cessation, end, oblivion, destruction (lit.)",/dict/8724-chidalon/
558,לַחְדּוֹל,ח - ד - ל,Verb – pa'al,"to stop, to cease, to leave off (מן)",/dict/558-lachdol/
5406,חֵדֶק,ח - ד - ק,"Noun – ketel pattern, masculine","proboscis, trunk (elephant)",/dict/5406-chedek/
560,לְהַחְדִּיר,ח - ד - ר,Verb – hif'il,"to introduce, to instil",/dict/560-lehachdir/
3113,חֶדֶר,ח - ד - ר,"Noun – ketel pattern, masculine",room,/dict/3113-cheder/
559,לַחְדּוֹר,ח - ד - ר,Verb – pa'al,"to penetrate, to enter (אל, ל-)",/dict/559-lachdor/
7438,חֶדֶר אוֹכֶל,-,Noun,dining room,/dict/7438-cheder-ochel/
6356,חֶדֶר אַמְבַּטְיָה,-,Noun,bathroom,/dict/6356-cheder-ambatya/
7674,חֲדַר כּוֹשֶׁר,-,Noun,"gymnasium, gym",/dict/7674-chadar-kosher/
7661,חֲדַר שֵׁינָה,-,Noun,bedroom,/dict/7661-chadar-shena/
2679,חָדָשׁ,ח - ד - שׁ,Adjective – katal pattern,new,/dict/2679-chadash/
562,לְהִתְחַדֵּשׁ,ח - ד - שׁ,Verb – hitpa'el,"to regenerate, to be renewed",/dict/562-lehitchadesh/
3208,חוֹדֶשׁ,ח - ד - שׁ,"Noun – kotel pattern, masculine",month,/dict/3208-chodesh/
3013,הִתְחַדְּשׁוּת,ח - ד - שׁ,"Noun – hitkattlut pattern, feminine",renewal,/dict/3013-hitchadshut/
4495,חַדְשָׁן,ח - ד - שׁ,"Noun – katlan pattern, masculine",innovator,/dict/4495-chadshan/
4496,חַדְשָׁנִי,ח - ד - שׁ,Adjective,innovative,/dict/4496-chadshani/
5094,חוֹדְשַׁייִם,ח - ד - שׁ,Noun – masculine,two months,/dict/5094-chodshayim/
8236,חוֹדְשִׁי,ח - ד - שׁ,Adjective,monthly,/dict/8236-chodshi/
561,לְחַדֵּשׁ,ח - ד - שׁ,Verb – pi'el,"to renew, to innovate, to modernise",/dict/561-lechadesh/
7137,תַּחְדִּישׁ,ח - ד - שׁ,"Noun – taktil pattern, masculine",neologism,/dict/7137-tachdish/
4074,לָחוּב,ח - ו - ב,Verb – pa'al,"to owe, to be obliged",/dict/4074-lachuv/
565,לָחוּג,ח - ו - ג,Verb – pa'al,"to circle, to revolve",/dict/565-lachug/
3750,מְחוּגָה,ח - ו - ג,"Noun – mekula pattern, feminine",compass (drawing device),/dict/3750-mechuga/
7811,מָחוֹג,ח - ו - ג,"Noun – miktal pattern, masculine","hand (on a clock), needle (on a meter)",/dict/7811-machog/
2511,לָחוּד,ח - ו - ד,Verb – pa'al,to give a riddle,/dict/2511-lachud/
4837,חִידָה,ח - ו - ד,"Noun – ktila pattern, feminine","riddle, puzzle",/dict/4837-chida/
7460,חִידוֹן,ח - ו - ד,Noun – masculine,"quiz, charade",/dict/7460-chidon/
7412,חַווָּה,-,Noun – feminine,"farm, ranch",/dict/7412-chava/
7151,מָחוֹז,ח - ו - ז,"Noun – miktal pattern, masculine","district, state, province, territory, region",/dict/7151-machoz/
7054,חוֹחַ,-,Noun,"thistle, briar",/dict/7054-choach/
5342,חוּט,ח - ו - ט,Noun – masculine,"thread, string; wire",/dict/5342-chut/
5343,לְחַווֵּט,ח - ו - ט,Verb – pi'el,"to wire, to connect with wires",/dict/5343-lechavet/
3066,חֲווָיָה,ח - ו - ה,"Noun – ktala pattern, feminine",experience,/dict/3066-chavaya/
4047,מַחֲווֶה,ח - ו - ה,"Noun – maktel pattern, masculine",pointer,/dict/4047-machave/
4045,לְהַחֲווֹת,ח - ו - ה,Verb – hif'il,"to indicate, to gesture, to give a sign",/dict/4045-lehachavot/
4046,מֶחְווָה,ח - ו - ה,"Noun – miktal pattern, feminine",gesture,/dict/4046-mechva/
2417,לַחֲווֹת,ח - ו - ה,Verb – pa'al,to experience,/dict/2417-lachavot/
2418,לְחַוּוֹת,ח - ו - ה,Verb – pi'el,"to express, to state (an opinion)",/dict/2418-lechavot/
566,לָחוּל,ח - ו - ל,Verb – pa'al,"to occur, to be in force, to fall due",/dict/566-lachul/
568,לְהִתְחוֹלֵל,ח - ו - ל,Verb – hitpa'el,"to occur, to take place",/dict/568-lehitcholel/
569,לְהָחִיל,ח - ו - ל,Verb – hif'il,"to apply, to enforce, to put in force",/dict/569-lehachil/
567,לְחוֹלֵל,ח - ו - ל,Verb – pi'el,to dance (archaic),/dict/567-lecholel/
7179,חוֹל,-,Noun – masculine,sand; dunes (in plural),/dict/7179-chol/
4321,חוּם,-,Adjective,brown,/dict/4321-chum/
4373,חוֹמָה,-,Noun – feminine,wall (of a city or a fortress),/dict/4373-choma/
5876,חוּמוּס,-,Noun – masculine,hummus (food),/dict/5876-chumus/
570,לָחוּס,ח - ו - ס,Verb – pa'al,"to spare, to pity (על)",/dict/570-lachus/
7067,חוֹף,-,Noun – masculine,"shore, coast, beach",/dict/7067-chof/
6548,חִיצוֹן,ח - ו - ץ,Adjective,"exterior, external",/dict/6548-chitzon/
6549,חִיצוֹנִי,ח - ו - ץ,Adjective,"exterior, external",/dict/6549-chitzoni/
6550,חוּץ,ח - ו - ץ,Noun,outside; (ball games) out,/dict/6550-chutz/
571,לְהִתְחַווֵּר,ח - ו - ר,Verb – hitpa'el,to be clarified,/dict/571-lehitchaver/
572,לְהַחֲווִיר,ח - ו - ר,Verb – hif'il,to turn pale,/dict/572-lehachavir/
3471,חִיווֵּר,ח - ו - ר,Adjective – kittel pattern,pale,/dict/3471-chiver/
573,לָחוּשׁ,ח - ו - שׁ,Verb – pa'al,"to sense, to feel (ב-); to hurry",/dict/573-lachush/
574,לְהָחִישׁ,ח - ו - שׁ,Verb – hif'il,"to accelerate, to hasten",/dict/574-lehachish/
3738,תְּחוּשָׁה,ח - ו - שׁ,"Noun – tkula pattern, feminine",feeling,/dict/3738-tchusha/
8230,מוּחָשׁ,ח - ו - שׁ,Adjective – muktal pattern,"tangible, concrete, perceptible (rare)",/dict/8230-muchash/
8231,מוּחָשִׁי,ח - ו - שׁ,Adjective,"tangible, concrete, perceptible (rare)",/dict/8231-muchashi/
8298,תְּחוּשָׁתִי,ח - ו - שׁ,Adjective,"sensory, related to senses (physiology)",/dict/8298-tchushati/
5589,חָזֶה,-,Noun – masculine,"chest, bosom",/dict/5589-chaze/
5910,תַּחֲזִית,ח - ז - ה,"Noun – taktit pattern, feminine","forecast, prediction",/dict/5910-tachazit/
575,לַחֲזוֹת,ח - ז - ה,Verb – pa'al,"to predict, to visualise",/dict/575-lachazot/
576,לְהִתְחַזּוֹת,ח - ז - ה,Verb – hitpa'el,to impersonate (ל-),/dict/576-lehitchazot/
5627,חֲזִית,ח - ז - ה,Noun – feminine,"facade, front; battlefront (military)",/dict/5627-chazit/
5823,הִתְחַזּוּת,ח - ז - ה,"Noun – hitkattlut pattern, feminine",impersonation,/dict/5823-hitchazut/
4831,מַחֲזֶה,ח - ז - ה,"Noun – miktal pattern, masculine","play (theatre); view, sight, scene",/dict/4831-machaze/
4832,חוֹזֶה,ח - ז - ה,"Noun – kotel pattern, masculine","contract, agreement",/dict/4832-choze/
4833,חוֹזֶה,ח - ז - ה,"Noun – kotel pattern, masculine","prophet, seer",/dict/4833-choze/
7833,חָזוֹן,ח - ז - ה,Noun – masculine,"dream, vision; prophecy",/dict/7833-chazon/
8600,לְהֵיחָזוֹת,ח - ז - ה,Verb – nif'al,"to be foreseen, to be expected",/dict/8600-lehechazot/
7277,חִיזָּיוֹן,ח - ז - ה,"Noun – kittalon pattern, masculine","spectacle, sight, show; dream, vision (lit.)",/dict/7277-chizayon/
5605,חֲזִייָּה,-,Noun – masculine,"bra, brassiere",/dict/5605-chaziya/
5491,חֲזִיר,-,Noun – masculine,pig,/dict/5491-chazir/
8772,חַזָּן,ח - ז - ן,"Noun – kattal pattern, masculine",cantor,/dict/8772-chazan/
8287,הַחְזָקָה,ח - ז - ק,"Noun – haktala pattern, feminine","holding, holding on, grasping; storage; confinement, incarceration; maintaining (principle, belief); possession",/dict/8287-hachzaka/
578,לְהִתְחַזֵּק,ח - ז - ק,Verb – hitpa'el,"to strengthen, to become stronger",/dict/578-lehitchazek/
579,לְהַחְזִיק,ח - ז - ק,Verb – hif'il,"to hold, to grip",/dict/579-lehachzik/
7681,חִיזּוּק,ח - ז - ק,"Noun – kittul pattern, masculine","strengthening, reinforcement",/dict/7681-chizuk/
2415,לַחֲזוֹק,ח - ז - ק,Verb – pa'al,"to be strong; to become stronger, to strengthen (archaic)",/dict/2415-lachazok/
3831,חוֹזֶק,ח - ז - ק,"Noun – kotel pattern, masculine","strength, power (rare)",/dict/3831-chozek/
3828,חָזָק,ח - ז - ק,Adjective – katal pattern,"strong, powerful",/dict/3828-chazak/
3829,חֲזָקָה,ח - ז - ק,"Noun – ktala pattern, feminine","presumption, commonly accepted fact; possession",/dict/3829-chazaka/
3830,חֶזְקָה,ח - ז - ק,"Noun – kitla pattern, feminine",power (mathematics),/dict/3830-chezka/
577,לְחַזֵּק,ח - ז - ק,Verb – pi'el,to strengthen,/dict/577-lechazek/
7149,תַּחְזוּקָה,ח - ז - ק,"Noun – taktula pattern, feminine",maintenance,/dict/7149-tachzuka/
8260,חִיזּוּר,ח - ז - ר,"Noun – kittul pattern, masculine",reduction (chemistry),/dict/8260-chizur/
8259,חִיזּוּר,ח - ז - ר,"Noun – kittul pattern, masculine","courting, wooing",/dict/8259-chizur/
581,לְהַחֲזִיר,ח - ז - ר,Verb – hif'il,to return (transitive),/dict/581-lehachazir/
2932,הֶחְזֵר,ח - ז - ר,"Noun – hektel pattern, masculine",refund; return,/dict/2932-hechzer/
3825,מַחְזוֹר,ח - ז - ר,"Noun – miktol pattern, masculine","cycle, period; circulation, turnover; machzor (prayer book)",/dict/3825-machzor/
7801,חֲזָרָה,ח - ז - ר,"Noun – ktala pattern, feminine","returning, the way back, retreat; rehearsal, repetition",/dict/7801-chazara/
48,לַחֲזוֹר,ח - ז - ר,Verb – pa'al,to return (intransitive); to repeat (על),/dict/48-lachazor/
580,לְחַזֵּר,ח - ז - ר,Verb – pi'el,"to court, to woo someone (אחרי)",/dict/580-lechazer/
8818,לְהִתְחַזֵּר,ח - ז - ר,Verb – hitpa'el,"to hog, to consume greedily (על)",/dict/8818-lehitchazer/
8988,חַזֶּרֶת,ח - ז - ר,"Noun – kattelet pattern, feminine",mumps (medicine),/dict/8988-chazeret/
8989,חַזֶּרֶת,ח - ז - ר,"Noun – kattelet pattern, feminine",horseradish,/dict/8989-chazeret/
582,לְהַחֲטִיא,ח - ט - א,Verb – hif'il,"to miss, to misfire",/dict/582-lehachati/
583,לַחֲטוֹא,ח - ט - א,Verb – pa'al,to sin,/dict/583-lachato/
2542,לְהִתְחַטֵּא,ח - ט - א,Verb – hitpa'el,to be purified (of sin) (bibl.); to ingratiate oneself (lit.),/dict/2542-lehitchate/
2579,לְחַטֵּא,ח - ט - א,Verb – pi'el,"to disinfect, to purify",/dict/2579-lechate/
7263,חֶטְא,ח - ט - א,Noun,sin,/dict/7263-chet/
584,לַחְטוֹב,ח - ט - ב,Verb – pa'al,"to chop, to hew",/dict/584-lachtov/
8064,חֲטִיבָה,ח - ט - ב,"Noun – ktila pattern, feminine","department, division (of organization); middle school; brigade (military)",/dict/8064-chativa/
8065,חֲטִיבָה,ח - ט - ב,"Noun – ktila pattern, feminine",tree felling,/dict/8065-chativa/
585,לְהֵיחָטֵב,ח - ט - ב,Verb – nif'al,"to be chopped, hewn",/dict/585-lehechatev/
586,לְחַטֵּט,ח - ט - ט,Verb – pi'el,"to pry, to probe",/dict/586-lechatet/
8845,חֶט,ח - ט - ט,"Noun – ketel pattern, masculine",tusk,/dict/8845-chet/
589,לְהַחְטִיף,ח - ט - ף,Verb – hif'il,to smack (ל-),/dict/589-lehachtif/
4829,חָטוּף,ח - ט - ף,Adjective – katul pattern,"kidnapped, captured; brief, momentary",/dict/4829-chatuf/
8652,חֲטִיפָה,ח - ט - ף,"Noun – ktila pattern, feminine","kidnapping, hijacking; grabbing, snatching",/dict/8652-chatifa/
588,לְהֵיחָטֵף,ח - ט - ף,Verb – nif'al,"to be snatched, kidnapped",/dict/588-lehechatef/
587,לַחְטוֹף,ח - ט - ף,Verb – pa'al,"to snatch, to kidnap",/dict/587-lachtof/
7224,חָטִיף,ח - ט - ף,"Noun – katil pattern, masculine",snack,/dict/7224-chatif/
8777,הַחְייָאָה,ח - י - א,"Noun – haktala pattern, feminine","resuscitation; rejuvenation, revitalization, reinvigoration",/dict/8777-hachyaa/
564,לְהִתְחַייֵּב,ח - י - ב,Verb – hitpa'el,"to commit, to undertake",/dict/564-lehitchayev/
563,לְחַייֵּב,ח - י - ב,Verb – pi'el,"to charge, to require, to oblige, to force someone",/dict/563-lechayev/
5418,מְחוּיָּב,ח - י - ב,Adjective – mekuttal pattern,"obliged, committed",/dict/5418-mechuyav/
5417,חוֹבָה,ח - י - ב,Noun – feminine,obligation; debt,/dict/5417-chova/
3050,חַייָּב,ח - י - ב,"Noun – kattal pattern, masculine",debtor,/dict/3050-chayav/
3049,חַייָּב,ח - י - ב,Adjective – kattal pattern,"must, should, bound, obliged",/dict/3049-chayav/
4516,חוֹב,ח - י - ב,Noun – masculine,debt,/dict/4516-chov/
4518,חִיּוּב,ח - י - ב,"Noun – kittul pattern, masculine","obligation, debit; positivity, agreement; conviction",/dict/4518-chiyuv/
4519,חִיּוּבִי,ח - י - ב,Noun – masculine,positive,/dict/4519-chiyuvi/
7921,חִיּוּבִי,ח - י - ב,Adjective,positive,/dict/7921-chiyuvi/
3011,הִתְחַייְּבוּת,ח - י - ב,"Noun – hitkattlut pattern, feminine","liability, commitment, undertaking",/dict/3011-hitchayvut/
5419,מְחוּיָּבוּת,ח - י - ב,Noun – feminine,"obligation, responsibility, commitment",/dict/5419-mechuyavut/
590,לְחַייֵּג,ח - י - ג,Verb – pi'el,"to dial, to call",/dict/590-lechayeg/
8520,חִיּוּג,ח - י - ג,"Noun – kittul pattern, masculine",dialing (phone number),/dict/8520-chiyug/
8118,לְחַייֵּהַּ,ח - י - הּ,Verb – pi'el,"to vitalize, to rejuvenate (lit.); to allow to live (lit.)",/dict/8118-lechayeah/
5345,חַייָּט,ח - י - ט,"Noun – kattal pattern, masculine",tailor,/dict/5345-chayat/
5344,לְחַייֵּט,ח - י - ט,Verb – pi'el,"to tailor, to sew (lit.)",/dict/5344-lechayet/
3809,חִיּוּת,ח - י - ה,Noun – feminine,"vitality, liveliness",/dict/3809-chiyut/
796,לְהַחֲיוֹת,ח - י - ה,Verb – hif'il,"to revive, to resuscitate",/dict/796-lehachayot/
797,לִחְיוֹת,ח - י - ה,Verb – pa'al,to live,/dict/797-lichyot/
3794,תְּחִייָּה,ח - י - ה,"Noun – tkilla pattern, feminine","revival, renaissance",/dict/3794-tchiya/
2654,חַיִּים,ח - י - ה,"Noun – kal pattern, masculine, plural",life,/dict/2654-chayim/
3761,מִחְיָה,ח - י - ה,"Noun – miktal pattern, feminine","sustenance, means for a living",/dict/3761-michya/
5214,חַיָּה,ח - י - ה,"Noun – katla pattern, feminine","animal, beast",/dict/5214-chaya/
7896,חַי,ח - י - ה,Adjective – kal pattern,"live, alive, living",/dict/7896-chay/
7368,חִיּוּנִי,ח - י - ה,Adjective,"vital, crucial; vibrant, vivacious",/dict/7368-chiyuni/
6696,חַייְזָר,-,Noun,"👽 alien, extraterrestrial life from",/dict/6696-chayzar/
591,לְחַייֵּךְ,ח - י - ך,Verb – pi'el,to smile,/dict/591-lechayech/
2961,חִיּוּךְ,ח - י - ך,"Noun – kittul pattern, masculine",☺️ smile,/dict/2961-chiyuch/
3429,חַייְכָן,ח - י - ך,Adjective – katlan pattern,"someone prone to smile, smiler",/dict/3429-chaychan/
4605,מְחוּיָּךְ,ח - י - ך,Adjective – mekuttal pattern,smiling,/dict/4605-mechuyach/
592,לְחוֹלֵל,ח - י - ל,Verb – pi'el,"to cause, to generate, to create",/dict/592-lecholel/
593,לְהִתְחוֹלֵל,ח - י - ל,Verb – hitpa'el,"to occur, to take place",/dict/593-lehitcholel/
3347,חַייָּל,ח - י - ל,"Noun – kattal pattern, masculine",soldier,/dict/3347-chayal/
5390,תְּחוּלָה,ח - י - ל,"Noun – tkula pattern, feminine","inception, effective date (legal)",/dict/5390-tchula/
4100,לְחַייֵּל,ח - י - ל,Verb – pi'el,"to enlist, to draft",/dict/4100-lechayel/
8200,חַיִל,ח - י - ל,"Noun – ketel pattern, masculine","force, corps (military); army; strength, courage, valour",/dict/8200-chayil/
8924,לְחַייֵּץ,ח - י - ץ,Verb – pi'el,extrapolate (mathematics),/dict/8924-lechayetz/
5273,חֵיק,-,Noun – masculine,"bosom, interior",/dict/5273-chek/
7373,חַייְשָׁן,ח - י - שׁ,"Noun – katlan pattern, masculine",sensor,/dict/7373-chayshan/
594,לְחַכּוֹת,ח - כ - ה,Verb – pi'el,"to await, to wait for (ל-)",/dict/594-lechakot/
2963,חִיכּוּךְ,ח - כ - ך,"Noun – kittul pattern, masculine",friction; disagreement,/dict/2963-chikuch/
2962,לְחַכֵּךְ,ח - כ - ך,Verb – pi'el,to rub,/dict/2962-lechakech/
8702,חַכָּה,ח - כ - ך,"Noun – katla pattern, feminine",fishing rod,/dict/8702-chaka/
4243,לְהִתְחַכֵּךְ,ח - כ - ך,Verb – hitpa'el,to rub oneself against something (ב־),/dict/4243-lehitchakech/
6260,חֵךְ,ח - כ - ך,"Noun – ketel pattern, masculine",palate,/dict/6260-chech/
595,לְהִתְחַכֵּם,ח - כ - ם,Verb – hitpa'el,to pretend to be wise,/dict/595-lehitchakem/
3231,חוֹכְמָה,ח - כ - ם,"Noun – kotla pattern, feminine",wisdom,/dict/3231-chochma/
3329,חָכָם,ח - כ - ם,Adjective – katal pattern,"wise, smart",/dict/3329-chacham/
3719,לַחְכּוֹם,ח - כ - ם,Verb – pa'al,to become wiser,/dict/3719-lachkom/
5607,לְהַחְכִּים,ח - כ - ם,Verb – hif'il,"to become wiser, to learn; to impart wisdom",/dict/5607-lehachkim/
6983,חָכָם,ח - כ - ם,"Noun – katal pattern, masculine","wise person; rabbi, sage (in Oriental Jews communities)",/dict/6983-chacham/
597,לְהֵיחָכֵר,ח - כ - ר,Verb – nif'al,"to be leased, hired",/dict/597-lehechacher/
598,לְהַחְכִּיר,ח - כ - ר,Verb – hif'il,"to let, to lease",/dict/598-lehachkir/
596,לַחְכּוֹר,ח - כ - ר,Verb – pa'al,"to lease, to rent, to hire",/dict/596-lachkor/
7719,תַּחְלוּאָה,ח - ל - א,"Noun – taktula pattern, feminine",morbidity,/dict/7719-tachlua/
5859,חָלָב,ח - ל - ב,"Noun – katal pattern, masculine",milk,/dict/5859-chalav/
5860,חֲלָבִי,ח - ל - ב,Adjective,"dairy, milky (esp. in context of kashrut)",/dict/5860-chalavi/
2502,לַחְלוֹב,ח - ל - ב,Verb – pa'al,to milk (an animal),/dict/2502-lachlov/
6997,חֶלְבּוֹן,ח - ל - ב,"Noun – kitlon pattern, masculine",protein; egg white,/dict/6997-chelbon/
7146,תַּחְלִיב,ח - ל - ב,"Noun – taktil pattern, masculine",emulsion,/dict/7146-tachliv/
5280,חֲלוּדָה,ח - ל - ד,"Noun – ktula pattern, feminine",rust,/dict/5280-chaluda/
599,לְהַחְלִיד,ח - ל - ד,Verb – hif'il,to rust,/dict/599-lehachlid/
3242,חוּלְדָּה,ח - ל - ד,"Noun – kutla pattern, feminine",rat,/dict/3242-chulda/
5281,חָלוּד,ח - ל - ד,Adjective – katul pattern,rusty,/dict/5281-chalud/
601,לְהִתְחַלְחֵל,ח - ל - ח - ל,Verb – hitpa'el,"to be shocked, to be horrified",/dict/601-lehitchalchel/
602,לְחַלְחֵל,ח - ל - ח - ל,Verb – pi'el,"to seep, to permeate (לתוך)",/dict/602-lechalchel/
603,לְהַחְלִיט,ח - ל - ט,Verb – hif'il,to decide,/dict/603-lehachlit/
2686,חִילּוּט,ח - ל - ט,"Noun – kittul pattern, masculine","confiscation, forfeiture",/dict/2686-chilut/
2879,הַחְלָטָה,ח - ל - ט,"Noun – haktala pattern, feminine","decision, resolution",/dict/2879-hachlata/
2685,לְחַלֵּט,ח - ל - ט,Verb – pi'el,to confiscate,/dict/2685-lechalet/
2684,לַחְלוֹט,ח - ל - ט,Verb – pa'al,to boil (tea); to scald,/dict/2684-lachlot/
8104,לַחֲלוּטִין,ח - ל - ט,Adverb,"completely, absolutely, totally, utterly",/dict/8104-lachalutin/
7154,הֶחְלֵט,ח - ל - ט,"Noun – hektel pattern, masculine","decision, determination (rare)",/dict/7154-hechlet/
7984,חַלְטוּרָה,-,Noun,"gig, moonlighting (coll.); shoddy work, botched job (coll.)",/dict/7984-chaltura/
3799,חִילְטוּר,ח - ל - ט - ר,"Noun – kittul pattern, masculine","moonlighting, side job (coll.)",/dict/3799-chiltur/
3798,לְחַלְטֵר,ח - ל - ט - ר,Verb – pi'el,"to moonlight, to make money on the side (coll.)",/dict/3798-lechalter/
600,לַחֲלוֹת,ח - ל - ה,Verb – pa'al,to be ill (with) (ב-),/dict/600-lachalot/
2750,לְחַלּוֹת,ח - ל - ה,Verb – pi'el,"to make ill, to sicken (archaic); to beg, to implore (archaic)",/dict/2750-lechalot/
4620,מַחֲלָה,ח - ל - ה,"Noun – miktal pattern, feminine","illness, disease, sickness",/dict/4620-machala/
5385,לְהִתְחַלּוֹת,ח - ל - ה,Verb – hitpa'el,"to malinger, to pretend to be ill",/dict/5385-lehitchalot/
7257,חוֹלֶה,ח - ל - ה,Adjective – kotel pattern,"sick; sick person, patient",/dict/7257-chole/
5260,חַלּוֹן,ח - ל - ל,"Noun – kitlon pattern, masculine","window; gap, free time (coll.)",/dict/5260-chalon/
8460,חִילּוּל,ח - ל - ל,"Noun – kittul pattern, masculine","desecration, defilement",/dict/8460-chilul/
6644,מְחִילָּה,ח - ל - ל,"Noun – mekila pattern, feminine","burrow, tunnel",/dict/6644-mechila/
3094,תְּחִילָּה,ח - ל - ל,"Noun – tkilla pattern, feminine",beginning,/dict/3094-tchila/
4053,חָלָל,ח - ל - ל,"Noun – katal pattern, masculine","space; outer space; void, cavity",/dict/4053-chalal/
4058,חֲלִיל,ח - ל - ל,"Noun – ktil pattern, masculine",flute,/dict/4058-chalil/
5711,חָלִילָה,ח - ל - ל,Adverb,"God forbid, by no means (usually in expression חַס וְחָלִילָה)",/dict/5711-chalila/
604,לְחַלֵּל,ח - ל - ל,Verb – pi'el,to desecrate,/dict/604-lechalel/
8879,חוּלִּיָּה,ח - ל - ל,Noun,"link (of chain); vertebra; part, component, element (of machine, equipment); stage, step (in progression)",/dict/8879-chuliya/
605,לְהָחֵל,ח - ל - ל,Verb – hif'il,"to start, to begin (lit.)",/dict/605-lehachel/
6247,חָלוּל,ח - ל - ל,Adjective – katul pattern,hollow,/dict/6247-chalul/
6326,חִילוֹנִי,ח - ל - ל,Adjective,"secular, non-religious",/dict/6326-chiloni/
6577,חַלָּה,ח - ל - ל,"Noun – katla pattern, feminine",challah; portion of dough set aside and burned (Judaism),/dict/6577-chala/
606,לְהַחְלִים,ח - ל - ם,Verb – hif'il,"to recover, to convalesce",/dict/606-lehachlim/
3127,חָלוֹם,ח - ל - ם,"Noun – katol pattern, masculine",dream,/dict/3127-chalom/
2419,לַחְלוֹם,ח - ל - ם,Verb – pa'al,"to dream (of, about: על)",/dict/2419-lachlom/
6946,הַחְלָמָה,ח - ל - ם,"Noun – haktala pattern, feminine","recuperation, recovery",/dict/6946-hachlama/
6998,חֶלְמוֹן,ח - ל - ם,"Noun – kitlon pattern, masculine",yolk,/dict/6998-chelmon/
5661,חֲלוּפָה,ח - ל - ף,"Noun – ktula pattern, feminine","alternative, option",/dict/5661-chalufa/
608,לְהַחֲלִיף,ח - ל - ף,Verb – hif'il,"to exchange, to swap",/dict/608-lehachalif/
7842,חִילּוּף,ח - ל - ף,"Noun – kittul pattern, masculine","exchange, replacement",/dict/7842-chiluf/
609,לְהִתְחַלֵּף,ח - ל - ף,Verb – hitpa'el,"to exchange, to be changed",/dict/609-lehitchalef/
5745,חֲלִיפָה,ח - ל - ף,"Noun – ktila pattern, feminine",suit (clothing),/dict/5745-chalifa/
2880,הַחְלָפָה,ח - ל - ף,"Noun – haktala pattern, feminine","replacement, exchange, swapping",/dict/2880-hachlafa/
8127,חֵלֶף,ח - ל - ף,Adverb,"instead of, in place of, in lieu of (lit.)",/dict/8127-chelef/
8457,תַּחְלוּפָה,ח - ל - ף,"Noun – taktula pattern, feminine","changeover, substitution; turnover (personnel)",/dict/8457-tachlufa/
8502,חִילּוּפִי,ח - ל - ף,Adjective,exchangeable; alternative; commutative (mathematics),/dict/8502-chilufi/
607,לַחֲלוֹף,ח - ל - ף,Verb – pa'al,"to move past, to pass away",/dict/607-lachalof/
6146,מֶחְלָף,ח - ל - ף,"Noun – miktal pattern, masculine","traffic interchange, junction",/dict/6146-mechlaf/
6147,מַחְלֵף,ח - ל - ף,"Noun – maktel pattern, masculine",commutator,/dict/6147-machlef/
6785,חֲלוּפִי,ח - ל - ף,Adjective,alternative,/dict/6785-chalufi/
2526,לַחֲלוֹץ,ח - ל - ץ,Verb – pa'al,to remove (a shoe),/dict/2526-lachalotz/
611,לְהֵיחָלֵץ,ח - ל - ץ,Verb – nif'al,"to be rescued, to escape",/dict/611-lehechaletz/
